state,stateLabel,stateQID,capitalLabel,population,area,borderStateLabel
http://www.wikidata.org/entity/Q1166,Michigan,Q1166,Lansing,10077331,250493,Illinois
http://www.wikidata.org/entity/Q1166,Michigan,Q1166,Lansing,10077331,250493,Ohio
http://www.wikidata.org/entity/Q1166,Michigan,Q1166,Lansing,10077331,250493,Indiana
http://www.wikidata.org/entity/Q1166,Michigan,Q1166,Lansing,10077331,250493,Minnesota
http://www.wikidata.org/entity/Q1166,Michigan,Q1166,Lansing,10077331,250493,Wisconsin
http://www.wikidata.org/entity/Q1527,Minnesota,Q1527,Saint Paul,5706494,225163,Michigan
http://www.wikidata.org/entity/Q1527,Minnesota,Q1527,Saint Paul,5706494,225163,North Dakota
http://www.wikidata.org/entity/Q1527,Minnesota,Q1527,Saint Paul,5706494,225163,South Dakota
http://www.wikidata.org/entity/Q1527,Minnesota,Q1527,Saint Paul,5706494,225163,Wisconsin
http://www.wikidata.org/entity/Q1527,Minnesota,Q1527,Saint Paul,5706494,225163,Iowa
http://www.wikidata.org/entity/Q1494,Mississippi,Q1494,Jackson,2961279,125443,Alabama
http://www.wikidata.org/entity/Q1494,Mississippi,Q1494,Jackson,2961279,125443,Tennessee
http://www.wikidata.org/entity/Q1494,Mississippi,Q1494,Jackson,2961279,125443,Louisiana
http://www.wikidata.org/entity/Q1494,Mississippi,Q1494,Jackson,2961279,125443,Arkansas
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Illinois
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Tennessee
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Iowa
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Nebraska
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Kansas
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Kentucky
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Arkansas
http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533,Oklahoma
http://www.wikidata.org/entity/Q1212,Montana,Q1212,Helena,1084225,381154,North Dakota
http://www.wikidata.org/entity/Q1212,Montana,Q1212,Helena,1084225,381154,South Dakota
http://www.wikidata.org/entity/Q1212,Montana,Q1212,Helena,1084225,381154,Wyoming
http://www.wikidata.org/entity/Q1212,Montana,Q1212,Helena,1084225,381154,Idaho
http://www.wikidata.org/entity/Q1553,Nebraska,Q1553,Lincoln,1961504,200520,South Dakota
http://www.wikidata.org/entity/Q1553,Nebraska,Q1553,Lincoln,1961504,200520,Wyoming
http://www.wikidata.org/entity/Q1553,Nebraska,Q1553,Lincoln,1961504,200520,Colorado
http://www.wikidata.org/entity/Q1553,Nebraska,Q1553,Lincoln,1961504,200520,Iowa
http://www.wikidata.org/entity/Q1553,Nebraska,Q1553,Lincoln,1961504,200520,Kansas
http://www.wikidata.org/entity/Q1553,Nebraska,Q1553,Lincoln,1961504,200520,Missouri
http://www.wikidata.org/entity/Q1227,Nevada,Q1227,Carson City,3104614,286380,California
http://www.wikidata.org/entity/Q1227,Nevada,Q1227,Carson City,3104614,286380,Arizona
http://www.wikidata.org/entity/Q1227,Nevada,Q1227,Carson City,3104614,286380,Oregon
http://www.wikidata.org/entity/Q1227,Nevada,Q1227,Carson City,3104614,286380,Utah
http://www.wikidata.org/entity/Q1227,Nevada,Q1227,Carson City,3104614,286380,Idaho
http://www.wikidata.org/entity/Q759,New Hampshire,Q759,Concord,1377529,24214,Maine
http://www.wikidata.org/entity/Q759,New Hampshire,Q759,Concord,1377529,24214,Massachusetts
http://www.wikidata.org/entity/Q759,New Hampshire,Q759,Concord,1377529,24214,Vermont
http://www.wikidata.org/entity/Q1408,New Jersey,Q1408,Trenton,9288994,22591.4,New York
http://www.wikidata.org/entity/Q1408,New Jersey,Q1408,Trenton,9288994,22591.4,Delaware
http://www.wikidata.org/entity/Q1408,New Jersey,Q1408,Trenton,9288994,22591.4,Pennsylvania
http://www.wikidata.org/entity/Q1522,New Mexico,Q1522,Santa Fe,2117522,315194,Arizona
http://www.wikidata.org/entity/Q1522,New Mexico,Q1522,Santa Fe,2117522,315194,Utah
http://www.wikidata.org/entity/Q1522,New Mexico,Q1522,Santa Fe,2117522,315194,Colorado
http://www.wikidata.org/entity/Q1522,New Mexico,Q1522,Santa Fe,2117522,315194,Texas
http://www.wikidata.org/entity/Q1522,New Mexico,Q1522,Santa Fe,2117522,315194,Oklahoma
http://www.wikidata.org/entity/Q1384,New York,Q1384,Albany,20201249,141300,Massachusetts
http://www.wikidata.org/entity/Q1384,New York,Q1384,Albany,20201249,141300,Connecticut
http://www.wikidata.org/entity/Q1384,New York,Q1384,Albany,20201249,141300,Pennsylvania
http://www.wikidata.org/entity/Q1384,New York,Q1384,Albany,20201249,141300,New Jersey
http://www.wikidata.org/entity/Q1384,New York,Q1384,Albany,20201249,141300,Vermont
http://www.wikidata.org/entity/Q1454,North Carolina,Q1454,Raleigh,10439388,139390,Virginia
http://www.wikidata.org/entity/Q1454,North Carolina,Q1454,Raleigh,10439388,139390,Georgia
http://www.wikidata.org/entity/Q1454,North Carolina,Q1454,Raleigh,10439388,139390,South Carolina
http://www.wikidata.org/entity/Q1454,North Carolina,Q1454,Raleigh,10439388,139390,Tennessee
http://www.wikidata.org/entity/Q1207,North Dakota,Q1207,Bismarck,779094,183108,South Dakota
http://www.wikidata.org/entity/Q1207,North Dakota,Q1207,Bismarck,779094,183108,Montana
http://www.wikidata.org/entity/Q1207,North Dakota,Q1207,Bismarck,779094,183108,Minnesota
http://www.wikidata.org/entity/Q1397,Ohio,Q1397,Columbus,11799448,116096,Michigan
http://www.wikidata.org/entity/Q1397,Ohio,Q1397,Columbus,11799448,116096,West Virginia
http://www.wikidata.org/entity/Q1397,Ohio,Q1397,Columbus,11799448,116096,Pennsylvania
http://www.wikidata.org/entity/Q1397,Ohio,Q1397,Columbus,11799448,116096,Indiana
http://www.wikidata.org/entity/Q1397,Ohio,Q1397,Columbus,11799448,116096,Kentucky
http://www.wikidata.org/entity/Q1649,Oklahoma,Q1649,Oklahoma City,3959353,181195,Colorado
http://www.wikidata.org/entity/Q1649,Oklahoma,Q1649,Oklahoma City,3959353,181195,Texas
http://www.wikidata.org/entity/Q1649,Oklahoma,Q1649,Oklahoma City,3959353,181195,New Mexico
http://www.wikidata.org/entity/Q1649,Oklahoma,Q1649,Oklahoma City,3959353,181195,Kansas
http://www.wikidata.org/entity/Q1649,Oklahoma,Q1649,Oklahoma City,3959353,181195,Missouri
http://www.wikidata.org/entity/Q1649,Oklahoma,Q1649,Oklahoma City,3959353,181195,Arkansas
http://www.wikidata.org/entity/Q824,Oregon,Q824,Salem,4237256,255026,California
http://www.wikidata.org/entity/Q824,Oregon,Q824,Salem,4237256,255026,Idaho
http://www.wikidata.org/entity/Q824,Oregon,Q824,Salem,4237256,255026,Washington
http://www.wikidata.org/entity/Q824,Oregon,Q824,Salem,4237256,255026,Nevada
http://www.wikidata.org/entity/Q1400,Pennsylvania,Q1400,Harrisburg,13002700,119283,West Virginia
http://www.wikidata.org/entity/Q1400,Pennsylvania,Q1400,Harrisburg,13002700,119283,New York
http://www.wikidata.org/entity/Q1400,Pennsylvania,Q1400,Harrisburg,13002700,119283,Maryland
http://www.wikidata.org/entity/Q1400,Pennsylvania,Q1400,Harrisburg,13002700,119283,Delaware
http://www.wikidata.org/entity/Q1400,Pennsylvania,Q1400,Harrisburg,13002700,119283,Ohio
http://www.wikidata.org/entity/Q1400,Pennsylvania,Q1400,Harrisburg,13002700,119283,New Jersey
http://www.wikidata.org/entity/Q1387,Rhode Island,Q1387,Providence,1097379,3144.245565,Massachusetts
http://www.wikidata.org/entity/Q1387,Rhode Island,Q1387,Providence,1097379,3144.245565,Connecticut
http://www.wikidata.org/entity/Q1456,South Carolina,Q1456,Columbia,5118425,82931,Georgia
http://www.wikidata.org/entity/Q1456,South Carolina,Q1456,Columbia,5118425,82931,North Carolina
http://www.wikidata.org/entity/Q1211,South Dakota,Q1211,Pierre,886667,199729,North Dakota
http://www.wikidata.org/entity/Q1211,South Dakota,Q1211,Pierre,886667,199729,Montana
http://www.wikidata.org/entity/Q1211,South Dakota,Q1211,Pierre,886667,199729,Wyoming
http://www.wikidata.org/entity/Q1211,South Dakota,Q1211,Pierre,886667,199729,Minnesota
http://www.wikidata.org/entity/Q1211,South Dakota,Q1211,Pierre,886667,199729,Iowa
http://www.wikidata.org/entity/Q1211,South Dakota,Q1211,Pierre,886667,199729,Nebraska
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,Alabama
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,Virginia
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,Georgia
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,North Carolina
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,Mississippi
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,Missouri
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,Kentucky
http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247,Arkansas
http://www.wikidata.org/entity/Q1439,Texas,Q1439,Austin,29145505,696241,New Mexico
http://www.wikidata.org/entity/Q1439,Texas,Q1439,Austin,29145505,696241,Louisiana
http://www.wikidata.org/entity/Q1439,Texas,Q1439,Austin,29145505,696241,Arkansas
http://www.wikidata.org/entity/Q1439,Texas,Q1439,Austin,29145505,696241,Oklahoma
http://www.wikidata.org/entity/Q829,Utah,Q829,Salt Lake City,3271616,219653,Arizona
http://www.wikidata.org/entity/Q829,Utah,Q829,Salt Lake City,3271616,219653,Wyoming
