"state","stateLabel","capitalLabel","population","area","categories"
"http://dbpedia.org/resource/Maine","Maine","Augusta, Maine",,91646000000.0,"1820 establishments in the United States, Contiguous United States, Maine, New England states, Northeastern United States, States and territories established in 1820, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Maine","Maine","Augusta, Maine",,35385000000.0,"1820 establishments in the United States, Contiguous United States, Maine, New England states, Northeastern United States, States and territories established in 1820, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Maryland","Maryland",,,12407000000.0,"1788 establishments in the United States, Contiguous United States, Maryland, Mid-Atlantic states, Northeastern United States, Southern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Maryland","Maryland",,,32133000000.0,"1788 establishments in the United States, Contiguous United States, Maryland, Mid-Atlantic states, Northeastern United States, Southern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Massachusetts","Massachusetts","Boston",,27363224385.69984,"1788 establishments in the United States, Contiguous United States, Massachusetts, New England states, Northeastern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Massachusetts","Massachusetts","Boston",,10565000000.0,"1788 establishments in the United States, Contiguous United States, Massachusetts, New England states, Northeastern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Michigan","Michigan","Lansing, Michigan",,96716000000.0,"1837 establishments in Michigan, Contiguous United States, Former French colonies, Michigan, Midwestern United States, New France, States and territories established in 1837, States of the United States"
"http://dbpedia.org/resource/Michigan","Michigan","Lansing, Michigan",,250493000000.0,"1837 establishments in Michigan, Contiguous United States, Former French colonies, Michigan, Midwestern United States, New France, States and territories established in 1837, States of the United States"
"http://dbpedia.org/resource/Minnesota","Minnesota","Saint Paul, Minnesota",,225163000000.0,"1858 establishments in the United States, Contiguous United States, Dakota toponyms, Midwestern United States, Minnesota, States and territories established in 1858, States of the United States"
"http://dbpedia.org/resource/Minnesota","Minnesota","Saint Paul, Minnesota",,86935830000.0,"1858 establishments in the United States, Contiguous United States, Dakota toponyms, Midwestern United States, Minnesota, States and territories established in 1858, States of the United States"
