state_key,state,stateLabel,stateQID,capitalLabel,population,area,state_dbpedia,stateLabel_dbpedia,capitalLabel_dbpedia,population_dbpedia,area_dbpedia,categories_dbpedia,capital_final,population_final,area_final
northcarolina,http://www.wikidata.org/entity/Q1454,North Carolina,Q1454,Raleigh,10439388,139390.0,http://dbpedia.org/resource/North_Carolina,North Carolina,"Raleigh, North Carolina",,53819000000.0,"Contiguous United States, North Carolina, Southeastern United States, Southern United States, Spanish colonization of the Americas, State of Franklin, States and territories established in 1789, States of the Confederate States of America, States of the East Coast of the United States, States of the United States",Raleigh,10439388,139390.0
northdakota,http://www.wikidata.org/entity/Q1207,North Dakota,Q1207,Bismarck,779094,183108.0,http://dbpedia.org/resource/North_Dakota,North Dakota,"Bismarck, North Dakota",,70706000000.0,"1889 establishments in the United States, Contiguous United States, Midwestern United States, North Dakota, States and territories established in 1889, States of the United States",Bismarck,779094,183108.0
ohio,http://www.wikidata.org/entity/Q1397,Ohio,Q1397,Columbus,11799448,116096.0,http://dbpedia.org/resource/Ohio,Ohio,"Columbus, Ohio",,116096000000.0,"1803 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Former French colonies, Midwestern United States, Ohio, States and territories established in 1803, States of the United States",Columbus,11799448,116096.0
oklahoma,http://www.wikidata.org/entity/Q1649,Oklahoma,Q1649,Oklahoma City,3959353,181195.0,http://dbpedia.org/resource/Oklahoma,Oklahoma,,,69699000000.0,"1907 establishments in the United States, Contiguous United States, Oklahoma, South Central United States, Southern United States, States and territories established in 1907, States of the United States",Oklahoma City,3959353,181195.0
oregon,http://www.wikidata.org/entity/Q824,Oregon,Q824,Salem,4237256,255026.0,http://dbpedia.org/resource/Oregon,Oregon,"Salem, Oregon",,98381000000.0,"1859 establishments in the United States, Contiguous United States, Geography of the Pacific Northwest, Oregon, States and territories established in 1859, States of the United States, States of the West Coast of the United States",Salem,4237256,255026.0
pennsylvania,http://www.wikidata.org/entity/Q1400,Pennsylvania,Q1400,Harrisburg,13002700,119283.0,http://dbpedia.org/resource/Pennsylvania,Pennsylvania,"Harrisburg, Pennsylvania",,46055000000.0,"1787 establishments in the United States, Articles containing video clips, Contiguous United States, Mid-Atlantic states, Northeastern United States, Pennsylvania, States and territories established in 1787, States of the East Coast of the United States, States of the United States",Harrisburg,13002700,119283.0
rhodeisland,http://www.wikidata.org/entity/Q1387,Rhode Island,Q1387,Providence,1097379,3144.245565,,,,,,,Providence,1097379,3144.245565
southcarolina,http://www.wikidata.org/entity/Q1456,South Carolina,Q1456,Columbia,5118425,82931.0,http://dbpedia.org/resource/South_Carolina,South Carolina,"Columbia, South Carolina",,82932700000.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, South Carolina, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States",Columbia,5118425,82931.0
southdakota,http://www.wikidata.org/entity/Q1211,South Dakota,Q1211,Pierre,886667,199729.0,http://dbpedia.org/resource/South_Dakota,South Dakota,"Pierre, South Dakota",,199729000000.0,"1889 establishments in the United States, Contiguous United States, Former French colonies, Midwestern United States, South Dakota, States and territories established in 1889, States of the United States",Pierre,886667,199729.0
tennessee,http://www.wikidata.org/entity/Q1509,Tennessee,Q1509,Nashville,6910840,109247.0,http://dbpedia.org/resource/Tennessee,Tennessee,,,42181000000.0,"1796 establishments in the United States, Contiguous United States, Southern United States, State of Franklin, States and territories established in 1796, States of the Confederate States of America, States of the United States, Tennessee",Nashville,6910840,109247.0
texas,http://www.wikidata.org/entity/Q1439,Texas,Q1439,Austin,29145505,696241.0,http://dbpedia.org/resource/Texas,Texas,,,695662000000.0,"1845 establishments in the United States, Contiguous United States, Former Spanish colonies, Southern United States, States and territories established in 1845, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States, Texas",Austin,29145505,696241.0
utah,http://www.wikidata.org/entity/Q829,Utah,Q829,Salt Lake City,3271616,219653.0,http://dbpedia.org/resource/Utah,Utah,,,219887000000.0,"1896 establishments in the United States, Contiguous United States, Former Spanish colonies, States and territories established in 1896, States of the United States, Utah, Western United States",Salt Lake City,3271616,219653.0
vermont,http://www.wikidata.org/entity/Q16551,Vermont,Q16551,Montpelier,643077,24923.0,http://dbpedia.org/resource/Vermont,Vermont,"Montpelier, Vermont",,24923000000.0,"1791 establishments in the United States, Contiguous United States, New England states, Northeastern United States, States and territories established in 1791, States of the United States, Vermont",Montpelier,643077,24923.0
virginia,http://www.wikidata.org/entity/Q1370,Virginia,Q1370,Richmond,8631393,110862.0,http://dbpedia.org/resource/Virginia,Virginia,,,42774200000.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Mid-Atlantic states, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States, Virginia",Richmond,8631393,110862.0
washington,http://www.wikidata.org/entity/Q1223,Washington,Q1223,Olympia,7705281,184827.0,,,,,,,Olympia,7705281,184827.0
westvirginia,http://www.wikidata.org/entity/Q1371,West Virginia,Q1371,Charleston,1793716,62755.0,http://dbpedia.org/resource/West_Virginia,West Virginia,"Charleston, West Virginia",,62755000000.0,"1863 establishments in Virginia, Contiguous United States, Geography of Appalachia, Mid-Atlantic states, Southern United States, States and territories established in 1863, States of the United States, West Virginia",Charleston,1793716,62755.0
wisconsin,http://www.wikidata.org/entity/Q1537,Wisconsin,Q1537,Madison,5893718,169640.0,http://dbpedia.org/resource/Wisconsin,Wisconsin,"Madison, Wisconsin",,169640000000.0,"1848 establishments in the United States, Contiguous United States, Midwestern United States, States and territories established in 1848, States of the United States, Wisconsin",Madison,5893718,169640.0
wyoming,http://www.wikidata.org/entity/Q1214,Wyoming,Q1214,Cheyenne,576851,253348.0,http://dbpedia.org/resource/Wyoming,Wyoming,,,97813000000.0,"1890 establishments in the United States, Contiguous United States, States and territories established in 1890, States of the United States, Western United States, Wyoming",Cheyenne,576851,253348.0
